CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-15-8600-46,01-411,GUATEMALA,VILLA NUEVA,COLEGIO NUESTRA SEÑORA DE LOURDES,7 AVE 6-98 VIA ARGENTINA LAS TERAS SAN CRISTOBAL ZONA 8,24592369,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-8660-46,01-213,GUATEMALA,VILLA NUEVA,COLEGIO CAMPO ALTO,KM 14 CARRETAL PACIFICO COLONIA COLINAS DE MONTE MARIA,55742521,ARGELIA DE JESUS ACOSTA SOSA,NERY ALBERTO FRIELY AVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8673-46,01-411,GUATEMALA,VILLA NUEVA,COLEGIO PRIVADO RENACIMIENTO,6 CALLE 11-49 ZONA 3,66292082,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8676-46,01-413,GUATEMALA,VILLA NUEVA,COLEGIO PRIVADO RENACIMIENTO,6 CALLE 11-49 ZONA 3 ALDEA BARCENAS,62920826,AMARILIS RIVAS MEJIA DE DIAZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-8732-46,01-406,GUATEMALA,VILLA NUEVA,COLEGIO CRISTIANO MISNA,3 AVE 52-04 ZONA 12 VILLA LOBOS II,24797359,MIGUEL ALVARO RODRIGUEZ PORTILLO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-8751-46,01-215,GUATEMALA,VILLA NUEVA,CENTRO EDUCATIVO EL SANTUARIO,13 AVE 7-39 ZONA 1,66312672,DORA BEATRIZ BARRIOS CRUZ,NA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8768-46,01-212,GUATEMALA,VILLA NUEVA,COLEGIO EVANGELICO MIXTO GUATEMALA II,4 AVE 4-34 ZONA 1,66269824,HAROLDO ENRIQUE NAVAS PAZ,WENDY MARIA KARINA BURGOS ARTEAGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8868-46,01-413,GUATEMALA,VILLA NUEVA,CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS CEMP,4 CALLE 9-20 ZONA 1,53907968,AMARILIS RIVAS MEJIA DE DIAZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-8927-46,01-411,GUATEMALA,VILLA NUEVA,LICEO EDUCATIVO LA ASUNCION,6 AVE 3-54 ZONA 1,66311815,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8930-46,01-206,GUATEMALA,VILLA NUEVA,COLEGIO CAMPOS VERDES,KM 11 CARRETA VILLA NUEVA COLONIA EL FRU ZONA 5,22234504,INGRID ELIZABETH PEÑA TRUJILLO,KARIN LISSETTE MARTINEZ LEMUS DE MALDONADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8951-46,01-411,GUATEMALA,VILLA NUEVA,LICEO GALES,1 CALLE 15-73 ZONA 3 COLONIA SANISABEL II,40165401,JUAN ENRIQUE MARTINEZ SOLANO,FRANCISCA BASILIA CHACON VILLAGRAN DE PEREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-8958-46,01-215,GUATEMALA,VILLA NUEVA,LICEO TECNICO INDUSTRIAL MAYA TIKAL,4 CALLE 9-20 ZONA 1,66593584,DORA BEATRIZ BARRIOS CRUZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8959-46,01-212,GUATEMALA,VILLA NUEVA,LICEO TECNICO INDUSTRIAL MAYA TIKAL,3 CALLE 9-50 ZONA 1,66368309,HAROLDO ENRIQUE NAVAS PAZ,OSVALDO ANTONIO PINEDA MELGAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-8968-46,01-406,GUATEMALA,VILLA NUEVA,LICEO EVANGELICO ROCA DE LOS SIGLOS,6 AVE 7-81 COLONIA MEXQUI,24771178,MIGUEL ALVARO RODRIGUEZ PORTILLO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA SUR
01-15-8969-46,01-408,GUATEMALA,VILLA NUEVA,LICEO EVANGELICO ROCA DE LOS SIGLOS,6 AVE 7-81 COLONIA MEXQUI,24771178,MANUEL MARIA CANO CASTRO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-8970-46,01-408,GUATEMALA,VILLA NUEVA,LICEO EVANGELICO ROCA DE LOS SIGLOS,6 AVE 7-81 COLONIA MEXQUI,24774478,MANUEL MARIA CANO CASTRO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9008-46,01-411,GUATEMALA,VILLA NUEVA,COLEGIO MIXTO MARTA-MARIA,3 CALLE 9-98 ZONA 1,66310065,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9074-46,01-213,GUATEMALA,VILLA NUEVA,COLEGIO LUIS REY,9 CALLE 17-48 ZONA 6 PLANES DEL FRU,66596063,ARGELIA DE JESUS ACOSTA SOSA,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9155-46,01-214,GUATEMALA,VILLA NUEVA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,6 AVE 7-43 ZONA 6 RESIDENCIALES CAINA,66364709,HECTOR RAUL ESCUN VIDES,NERY ALBERTO FRIELY ALVARADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9157-46,01-411,GUATEMALA,VILLA NUEVA,LICEO TECNICO DE VILLA NUEVA,6 AVE 6-54 ZONA 1,66355887,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA SUR
01-15-9275-46,01-411,GUATEMALA,VILLA NUEVA,LICEO COMPU-MARKET,4 AVE 6-29 ZONA 1 VILLA NUEVA,66856033,JUAN ENRIQUE MARTINEZ SOLANO,LISBETH ESPAÑA MEJIA DE VALDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9276-46,01-411,GUATEMALA,VILLA NUEVA,LICEO COMPU-MARKET,4 AVE 6-29 ZONA 1,66856022,JUAN ENRIQUE MARTINEZ SOLANO,LISBETH ESPAÑA MEJIA DE VALDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9314-46,01-221,GUATEMALA,VILLA NUEVA,INSTITUTO PRIVADO NUESTRA SEÑORA DE AMERICA,10 AVE 3-81 BARCENAS ZONA 3,50154018,DALLANA ZUHEIDY FLORES CHINCHILLA,KARLA FAVIOLA PEREZ ANZUETO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9333-46,01-212,GUATEMALA,VILLA NUEVA,LICEO TECNICO INDUSTRIAL MAYA TIKAL,4 CALLE 9-20 ZONA 1,66368309,HAROLDO ENRIQUE NAVAS PAZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9336-46,01-411,GUATEMALA,VILLA NUEVA,LICEO TECNICO INDUSTRIAL MAYA TIKAL,4 CALLE 9-20 ZONA 1,66368309,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9347-46,01-215,GUATEMALA,VILLA NUEVA,COLEGIO EVANGELICO BET-EL SHAMMA,13 AVE 4-00 ZONA 1,66363865,DORA BEATRIZ BARRIOS CRUZ,NA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-9357-46,01-212,GUATEMALA,VILLA NUEVA,COLEGIO BASICO MODERNO PARA COMPUTACION -BM-PC-,1 CALLE 0-95 ZONA 1,66311557,HAROLDO ENRIQUE NAVAS PAZ,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-9377-46,01-216,GUATEMALA,VILLA NUEVA,COLEGIO INTERNACIONES,LOTIFICACION VILLA ROMANA CARRETAL PACIFICO,66244200,GLADYS IDALMA CHAVARRIA NIJ,MIRNA ELIZABETH MORALES DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9392-46,01-411,GUATEMALA,VILLA NUEVA,COLEGIO MIXTO REAL EL VALLE,12 AVE 3-73 ZONA 1,52173927,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9415-46,01-411,GUATEMALA,VILLA NUEVA,CENTRO CRISTIANO EDUCACIONAL VIDA,LOTE 10 MANZANA B RECIDENCIALES LLANO ALTO ZONA 6,66595398,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9464-46,01-411,GUATEMALA,VILLA NUEVA,CENTRO EDUCATIVO AMOR Y ENSEÑANZA,12 AVE 8-95 ZONA 3,54111149,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA SUR
01-15-9467-46,01-411,GUATEMALA,VILLA NUEVA,CENTRO EDUCATIVO MANUEL GALICH,5 AVE 2-27 ZONA 4 COLONIA ETERNA PRIM AVE A,55745561,JUAN ENRIQUE MARTINEZ SOLANO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR
01-15-9498-46,01-221,GUATEMALA,VILLA NUEVA,LICEO COMPU-MARKET,4 AVE 6-29 ZONA 1,66856022,DALLANA ZUHEIDY FLORES CHINCHILLA,LISBETH ESPAÑA MEJIA DE VALDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-9501-46,01-219,GUATEMALA,VILLA NUEVA,CENTRO CULTURAL AVE MARIA DE LA ASUNCION,LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8,24786391,FLOR DE MARIA HERNANDEZ MOLINA,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9503-46,01-212,GUATEMALA,VILLA NUEVA,COLEGIO ESMERALDA II,6 CALLE 2-39 ZONA 1,66313158,HAROLDO ENRIQUE NAVAS PAZ,ENIO LEONEL MARTINEZ PINEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9546-46,01-215,GUATEMALA,VILLA NUEVA,COLEGIO ETAMABAL,5 AVE 3-45 COLONIA ENRIQUEZONA 5,66315444,DORA BEATRIZ BARRIOS CRUZ,NA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-9551-46,01-221,GUATEMALA,VILLA NUEVA,LICEO TECNICO DE VILLA NUEVA,6 AVE 6-54 ZONA 1,66312603,DALLANA ZUHEIDY FLORES CHINCHILLA,IRIS MARICLO MORALES LUNA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-9555-46,01-214,GUATEMALA,VILLA NUEVA,COLEGIO MIXTO NUESTRA PATRIA,3 CALLE 3-78 ZONA 1,66310056,HECTOR RAUL ESCUN VIDES,ILIANA DEL ROSARIO CARRILLO MELGAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9587-46,01-212,GUATEMALA,VILLA NUEVA,LICEO SAN JOSE DE LOS OLIVOS,10 AVE 6-72 ZONA 3 BARCENAS,58062370,HAROLDO ENRIQUE NAVAS PAZ,THELMA PATRICIA SIPAQUE ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9604-46,01-219,GUATEMALA,VILLA NUEVA,COLEGIO EVANGELICO AMIGOS,CALLE RIO USUMACIN LOTE 0 CIUDAD PERONIA,NA,FLOR DE MARIA HERNANDEZ MOLINA,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9633-46,01-212,GUATEMALA,VILLA NUEVA,INSTITUTO TECNOLOGICO JAMES PRESCOT JOULE,7 AVE 5-88 ZONA 1,66365305,HAROLDO ENRIQUE NAVAS PAZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR
01-15-9634-46,01-212,GUATEMALA,VILLA NUEVA,INSTITUTO TECNOLOGICO JAMES PRESCOT JOULE,7 AVE 5-88 ZONA 1,66365305,HAROLDO ENRIQUE NAVAS PAZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR
01-15-9791-46,99-001,GUATEMALA,VILLA NUEVA,LICEO VILLA NUEVA,NA,NA,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,NA,DIVERSIFICADO,PRIVADO,RURAL,TEMPORAL TITULOS,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA SUR
01-16-0001-46,01-405,GUATEMALA,VILLA CANALES,LICEO CIENTIFICO JOCOTILLO,CALLE PRINCIPAL ALDEA EL JOCOTILLO,40016340,SERGIO LEONEL CIFUENTES CIFUENTES,CLAUDIA LORENA TORRES ALVAREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0005-46,01-217,GUATEMALA,VILLA CANALES,COLEGIO ALCAZAR DE TOLEDO,3 CALLE 1-28 ZONA 1 BOCA DEL MONTE,24426601,CARLOS ANIBAL LOPEZ,LILIAN ELIZABETH AGUILAR BONILLA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0014-46,01-625,GUATEMALA,VILLA CANALES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA EL JOCOTILLO,55573747,KARLA MARIA DEL ROSARIO ZAMORA,JACQUELIN YANIRA LEMUS DE LOS SANTOS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0015-46,01-217,GUATEMALA,VILLA CANALES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SANELENA BARILLAS,66266168,CARLOS ANIBAL LOPEZ,NA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0032-46,01-205,GUATEMALA,VILLA CANALES,INSTITUTO TECNICO INDUSTRIAL ARTES Y OFICIOS,"1 CALLE ""B"" 1-28 ZONA 1 BOCA DEL MONTE",24426567,MARTA LISBETH CUMATZ RAMIREZ,ELDA ESPARANZA RUANO TELLEZ DE SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0036-46,01-217,GUATEMALA,VILLA CANALES,COLEGIO MARÍA EUGENIA MILLERET,4 AVE 5-45 ZONA 3 CANTON EL MAANO BOCA DEL MONTE,24427710,CARLOS ANIBAL LOPEZ,ZULLY IRENE AYALA GARCIA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0046-46,01-625,GUATEMALA,VILLA CANALES,COLEGIO DE INFORMATICA AVANZADA COMPUCEIC,6 CALLE 2-35 ZONA 1 BOCA DEL MONTE,24496307,KARLA MARIA DEL ROSARIO ZAMORA,SERGIO LEONEL AZURDIA MONTENEGRO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0047-46,01-205,GUATEMALA,VILLA CANALES,COLEGIO DE INFORMATICA AVANZADA COMPUCEIC,6 CALLE 2-35 ZONA 1 BOCA DEL MONTE,24496307,MARTA LISBETH CUMATZ RAMIREZ,DORA GUADALUPE URBINA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0053-46,01-217,GUATEMALA,VILLA CANALES,LICEO DEL MONTE,3 AVE 2-28 ZONA 1 BOCA DEL MONTE,24489556,CARLOS ANIBAL LOPEZ,MARÍA DEL ROSARIO RODRÍGUEZ MUÑOZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0057-46,01-625,GUATEMALA,VILLA CANALES,COLEGIO MONTE ALTO,KILOMETRO 19.9 CARRETA EL SALVADOR LOS MANZANILLOS,66771152,KARLA MARIA DEL ROSARIO ZAMORA,MARIA VERONICA AUYON OCAMPO DE GALICIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0085-46,01-217,GUATEMALA,VILLA CANALES,"COLEGIO ""RAFAEL PRATDESABA""",3 AVE 3-41 ZONA 3 CANTÓN EL MAANO ALDEA BOCA DEL MONTE,56324900,CARLOS ANIBAL LOPEZ,ERICA JOVANA LEAL HEREDIA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0089-46,01-405,GUATEMALA,VILLA CANALES,CENTRO EDUCATIVO INTEGRAL COMPUTARIZADO,6 CALLE 2-35 ZONA 1 BOCA DEL MONTE,24496307,SERGIO LEONEL CIFUENTES CIFUENTES,LIDIA ARACELY LÓPEZ AGUILAR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0092-46,01-625,GUATEMALA,VILLA CANALES,COLEGIO TECNOLÓGICO CANALEÑO,1 AVE 2-99 ZONA 1,42170461,KARLA MARIA DEL ROSARIO ZAMORA,GENCIS YOHANA SOLIS ORTIZ DE XUYÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0095-46,01-217,GUATEMALA,VILLA CANALES,LICEO ALVARADO,7 CALLE 0-19 ZONA 1 BOCA DEL MONTE,24427129,CARLOS ANIBAL LOPEZ,PAOLA CONCEPCIÓN ALVARADO GARCÍA DE PÉREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0098-46,01-405,GUATEMALA,VILLA CANALES,"LICEO PROFESIONAL DE COMPUTACIÓN ""MANUEL GALICH""",2 CALLE 3-61 ZONA 1 BOCA DEL MONTE,24480907,SERGIO LEONEL CIFUENTES CIFUENTES,NIDIA MARLENI GONZÁLEZ REYES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0106-46,01-405,GUATEMALA,VILLA CANALES,LICEO PREUNIVERSITARIO DE INFORMÁTICA Y TECNOLOGÍA,1 AVE 1-41 ZONA 2 ALDEA EL PORVENIR,56985536,SERGIO LEONEL CIFUENTES CIFUENTES,WILMAN ANTONIO GALINDO LÓPEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0107-46,01-405,GUATEMALA,VILLA CANALES,"COLEGIO INTEGRAL CANALEÑO ""DR. JUAN JOSÉ ARÉVALO BERMEJO""",3 AVE 2-08 ZONA 1,66350259,SERGIO LEONEL CIFUENTES CIFUENTES,CELIA IRACEMA REYES CIFUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0108-46,01-625,GUATEMALA,VILLA CANALES,LICEO CENTROAMERICANO BOCA DEL MONTE,1 CALLE 2-60 ZONA 1 ALDEA BOCA DEL MONTE,44303549,KARLA MARIA DEL ROSARIO ZAMORA,ALBERTO ANDRÉS MARTÍNEZ MUJ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0110-46,01-205,GUATEMALA,VILLA CANALES,LICEO MONTEGAL,4 CALLE 3-30 ZONA 3 ALDEA BOCA DEL MONTE,24480675,MARTA LISBETH CUMATZ RAMIREZ,MAURINDA BEATRIZ MOLINA SARAVIA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0114-46,01-405,GUATEMALA,VILLA CANALES,LICEO MONTEGAL,4 CALLE 3-30 ZONA 3 ALDEA BOCA DEL MONTE,24480675,SERGIO LEONEL CIFUENTES CIFUENTES,MAURINDA BEATRIZ MOLINA SARAVIA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0116-46,01-405,GUATEMALA,VILLA CANALES,LICEO MONTEGAL,4 CALLE 3-30 ZONA 3 ALDEA BOCA DEL MONTE,24480675,SERGIO LEONEL CIFUENTES CIFUENTES,MAURINDA BEATRIZ MOLINA SARAVIA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-16-0118-46,01-408,GUATEMALA,VILLA CANALES,COLEGIO BILINGÜE MANOS A LA OBRA,4 CALLE 6-22 SECTOR LOS MANZANILLOS ZONA 3,66328839,MANUEL MARIA CANO CASTRO,NILSA CAROLINA HERNÁNDEZ MOLINA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0119-46,01-625,GUATEMALA,VILLA CANALES,LICEO DEL SUR,5 CALLE 2-80 ZONA 1 ALDEA BOCA DEL MONTE,66272688,KARLA MARIA DEL ROSARIO ZAMORA,ILEANA GRISELDA ELÍAS ALVARADO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0125-46,01-205,GUATEMALA,VILLA CANALES,COLEGIO LEHNSEN,KM 10.5 AVE HINCAPIÉ CARRETA VILLA CANALES,23904500,MARTA LISBETH CUMATZ RAMIREZ,XIOMARA ISABEL MARTÍNEZ DÍAZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-0130-46,01-205,GUATEMALA,VILLA CANALES,LICEO EN COMPUTACIÓN MONTREAL,"5 AVE ""C"" 4-65 ZONA 2 ALDEA BOCA DEL MONTE",22352699,MARTA LISBETH CUMATZ RAMIREZ,JUAN CARLOS LÓPEZ MATUL,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-2142-46,01-205,GUATEMALA,VILLA CANALES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES AMERICA,3 AVE 7-27 ZONA 1,66350205,MARTA LISBETH CUMATZ RAMIREZ,CARLOS FRANCISCO MEJÍA CEBALLOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-16-2370-46,01-101,GUATEMALA,VILLA CANALES,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA FORMACION INTEGRAL B.D.M. JV,ALDEA BOCA DEL MONTE 4 AVE 2-51 ZONA 1,NA,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,NA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
